computed_at,country,year,hhi,concentration_level,n_product_chapters,top_product,top_product_share_pct
2026-09-08T05:39:29Z,Namibia,2021,2045.6,moderately concentrated,97,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",37.72
2026-09-08T05:39:29Z,Namibia,2022,1990.4,moderately concentrated,97,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",37.05
2026-09-08T05:39:29Z,Namibia,2023,1790.3,moderately concentrated,95,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",35.0
2026-09-08T05:39:29Z,Namibia,2024,1543.0,moderately concentrated,97,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",28.21
2026-09-08T05:39:29Z,South Africa,2018,827.7,diversified,97,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",17.22
2026-09-08T05:39:29Z,South Africa,2019,868.9,diversified,97,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",16.79
2026-09-08T05:39:29Z,South Africa,2020,1000.9,diversified,97,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",22.64
2026-09-08T05:39:29Z,South Africa,2021,1221.1,diversified,97,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",27.53
2026-09-08T05:39:29Z,South Africa,2022,987.4,diversified,97,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",20.75
2026-09-08T05:39:29Z,South Africa,2023,885.6,diversified,96,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",17.71
2026-09-08T05:39:29Z,South Africa,2024,907.2,diversified,96,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",18.45
2026-09-08T05:39:29Z,South Africa,2025,966.8,diversified,96,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",20.0
