computed_at,domain,series_id,series_label,latest_period,latest_value,latest_change,prior_change_mean,prior_change_std,z_score,is_anomaly,n_prior_changes
2026-09-07T13:06:59Z,macro,SWZ:BN.CAB.XOKA.GD.ZS,SWZ — Current account balance (% of GDP),2024,1.6121572847945,-0.523603085063,0.849268,5.033798,-0.273,False,13
2026-09-07T13:06:59Z,macro,SWZ:BX.KLT.DINV.WD.GD.ZS,"SWZ — FDI, net inflows (% of GDP)",2024,1.55448906259813,0.945716348182095,-0.192477,1.531442,0.743,False,13
2026-09-07T13:06:59Z,macro,SWZ:BX.TRF.PWKR.CD.DT,"SWZ — Personal remittances, received (current US$)",2024,33346090.7113569,-46598974.407200105,1942672.405622,23110245.604651,-2.1,True,13
2026-09-07T13:06:59Z,macro,SWZ:BX.TRF.PWKR.DT.GD.ZS,"SWZ — Personal remittances, received (% of GDP)",2024,0.68629088651435,-1.04367570843434,0.036601,0.431718,-2.502,True,13
2026-09-07T13:06:59Z,macro,SWZ:NE.EXP.GNFS.ZS,SWZ — Exports of goods and services (% of GDP),2024,53.7558918717287,5.254869537934297,0.669395,2.393616,1.916,False,10
2026-09-07T13:06:59Z,macro,SWZ:NE.IMP.GNFS.ZS,SWZ — Imports of goods and services (% of GDP),2024,53.7247291821506,2.5011404343833945,0.782721,2.65264,0.648,False,10
2026-09-07T13:06:59Z,macro,SWZ:NE.RSB.GNFS.ZS,SWZ — External balance on goods and services (% of GDP),2024,0.0311626895781123,2.7537291035508824,-0.113327,3.123139,0.918,False,10
2026-09-07T13:06:59Z,macro,SWZ:NV.IND.MANF.ZS,"SWZ — Manufacturing, value added (% of GDP)",2025,28.0612861211559,-1.0603135229032006,-0.236674,1.401729,-0.588,False,14
2026-09-07T13:06:59Z,macro,SWZ:NV.IND.TOTL.ZS,"SWZ — Industry (incl. construction), value added (% of GDP)",2025,33.5797459803013,-1.156820257787004,-0.284087,1.461771,-0.597,False,14
2026-09-07T13:06:59Z,macro,SWZ:NY.GDP.PCAP.CD,SWZ — GDP per capita (current US$),2025,4108.25221093363,198.69328715180973,-0.941534,312.473094,0.639,False,14
