pulled_at,country,country_code,indicator_code,indicator_name,outcome_link,year,value
2026-09-03T12:26:23Z,Namibia,NAM,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2021,-10.7496086508526
2026-09-03T12:26:23Z,Namibia,NAM,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2020,3.97932903342158
2026-09-03T12:26:23Z,Namibia,NAM,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2019,-1.76497330612085
2026-09-03T12:26:23Z,Namibia,NAM,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2018,-3.55152146428618
2026-09-03T12:26:23Z,Namibia,NAM,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2017,-4.42059051747783
2026-09-03T12:26:23Z,Namibia,NAM,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2016,-16.4970881327639
2026-09-03T12:26:23Z,Namibia,NAM,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2015,-13.7578944670231
2026-09-03T12:26:23Z,Namibia,NAM,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2014,-9.42886877840743
2026-09-03T12:26:23Z,Namibia,NAM,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2013,-8.23764757879193
2026-09-03T12:26:23Z,Namibia,NAM,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2012,-8.58334513038746
2026-09-03T12:26:23Z,Namibia,NAM,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2011,-6.84779731737787
